Connecting to host 10.0.2.2, port 5201
[ 14] local 10.0.1.2 port 38580 connected to 10.0.2.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 14]   0.00-1.00   sec   314 KBytes  2.57 Mbits/sec   13   11.3 KBytes       
[ 14]   1.00-2.00   sec   361 KBytes  2.95 Mbits/sec    8   14.1 KBytes       
[ 14]   2.00-3.00   sec   413 KBytes  3.38 Mbits/sec    6   25.5 KBytes       
[ 14]   3.00-4.00   sec   509 KBytes  4.17 Mbits/sec    8   9.90 KBytes       
[ 14]   4.00-5.00   sec   638 KBytes  5.22 Mbits/sec    7   18.4 KBytes       
[ 14]   5.00-6.00   sec   573 KBytes  4.69 Mbits/sec    8   17.0 KBytes       
[ 14]   6.00-7.00   sec   509 KBytes  4.17 Mbits/sec    9   12.7 KBytes       
[ 14]   7.00-8.00   sec   636 KBytes  5.21 Mbits/sec    6   22.6 KBytes       
[ 14]   8.00-9.00   sec   382 KBytes  3.13 Mbits/sec   14   12.7 KBytes       
[ 14]   9.00-10.00  sec   255 KBytes  2.09 Mbits/sec   12   11.3 KBytes       
[ 14]  10.00-11.00  sec   255 KBytes  2.08 Mbits/sec   10   14.1 KBytes       
[ 14]  11.00-12.00  sec   382 KBytes  3.13 Mbits/sec    9   15.6 KBytes       
[ 14]  12.00-13.00  sec   382 KBytes  3.13 Mbits/sec    7   21.2 KBytes       
[ 14]  13.00-14.00  sec   382 KBytes  3.13 Mbits/sec   11   14.1 KBytes       
[ 14]  14.00-15.00  sec   382 KBytes  3.13 Mbits/sec    6   24.0 KBytes       
[ 14]  15.00-16.00  sec   509 KBytes  4.17 Mbits/sec    7   17.0 KBytes       
[ 14]  16.00-17.00  sec   509 KBytes  4.17 Mbits/sec    9   12.7 KBytes       
[ 14]  17.00-18.00  sec   255 KBytes  2.08 Mbits/sec    9   7.07 KBytes       
[ 14]  18.00-19.00  sec   509 KBytes  4.17 Mbits/sec    4   28.3 KBytes       
